brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
Ultracare Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,5150.14,23160.0,191,95.0,0.2224519705,US,Medicare Part D
Ultracare Insulin Syringe,"Syringe And Needle,Insulin,1ml",Overall,18182.98,83485.0,839,321.0,0.2176890033,US,Medicare Part D
Ultracare Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Overall,22829.33,104618.0,931,321.0,0.2184730238,US,Medicare Part D
Ultracare Pen Needle,"Pen Needle, Diabetic",Overall,671977.71,2435124.0,19293,6642.0,0.2758961621,US,Medicare Part D
Ultravate,Halobetasol Propionate,Overall,173415.66,10980.0,164,107.0,15.793775956,US,Medicare Part D
Unasyn,Ampicillin Sod/Sulbactam Sod,Overall,93239.45,42765.047,507,131.0,2.474383045,US,Medicare Part D
Unifine Pentips,"Pen Needle, Diabetic",Overall,6720968.4,23500240.466,192799,67242.0,0.2861694481,US,Medicare Part D
Unifine Pentips Maxflow,"Pen Needle, Diabetic",Overall,7458.46,26706.0,221,127.0,0.2792803115,US,Medicare Part D
Unifine Pentips Plus,"Pen Needle, Diabetic",Overall,2457255.01,9587797.9,71403,28588.0,0.2564233616,US,Medicare Part D
Unifine Pentips Plus Maxflow,"Pen Needle, Diabetic",Overall,2312.92,7100.0,59,38.0,0.3257633803,US,Medicare Part D
Unifine Safecontrol,"Pen Needle,Dual Safety,Diabetc",Overall,957096.25,1712160.0,20767,5927.0,0.558825531,US,Medicare Part D
Unifine Ultra Pen Needle,"Pen Needle, Diabetic",Overall,426187.11,687994.0,5207,2527.0,0.619455381,US,Medicare Part D
Unithroid,Levothyroxine Sodium,Overall,2758840.43,6035140.5,80459,21946.0,0.4584138131,US,Medicare Part D
Uplizna,Inebilizumab-Cdon,Overall,12977952.0,2796.0,82,48.0,4641.6137339,US,Medicare Part D
Uptravi,Selexipag,Overall,758070464.16,2296260.0,33016,3727.0,353.07659956,US,Medicare Part D
Urea,Urea,Overall,16137.57,31290.8,216,100.0,0.5504822637,US,Medicare Part D
